param_name,param_value
test_loss,1.7431553602218628
test_acc_macro,0.15629801154136658
test_acc_micro,0.17521367967128754
test_rocauc,0.5130380988121033
test_f1_macro,0.06746327877044678
test_f1_micro,0.17521367967128754
test_mcc,-0.039336904883384705
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,azh
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,
min_samples,0
augmentation,True
keep_aspect_ratio,True
keep_aspect_ratio_eval,True
num_workers,-1
backbone,vicregl_convnext_small
num_mlp_layers,1
num_mlp_neurons,512
freeze_backbone,False
