param_name,param_value
test_loss,0.35378479957580566
test_acc_macro,0.8950064778327942
test_acc_micro,0.8803418874740601
test_rocauc,0.9844793081283569
test_f1_macro,0.8890817165374756
test_f1_micro,0.8803418874740601
test_mcc,0.85381019115448
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,azh
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,
min_samples,0
augmentation,True
keep_aspect_ratio,False
keep_aspect_ratio_eval,False
num_workers,-1
backbone,vicregl_convnext_xlarge
num_mlp_layers,1
num_mlp_neurons,512
freeze_backbone,True
