param_name,param_value
test_loss,0.6783908009529114
test_acc_macro,0.7472970485687256
test_acc_micro,0.7307692170143127
test_rocauc,0.9430088996887207
test_f1_macro,0.7419078350067139
test_f1_micro,0.7307692170143127
test_mcc,0.6695924401283264
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,azh
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,
min_samples,0
augmentation,True
keep_aspect_ratio,True
keep_aspect_ratio_eval,True
num_workers,-1
backbone,resnet_imagenet
num_mlp_layers,1
num_mlp_neurons,512
freeze_backbone,True
