param_name,param_value
test_loss,0.5478258728981018
test_acc_macro,0.8068356513977051
test_acc_micro,0.8034188151359558
test_rocauc,0.9621443748474121
test_f1_macro,0.8082354664802551
test_f1_micro,0.8034188151359558
test_mcc,0.7592279314994812
custom_name,1_run
seed,42
epochs,300
min_epochs,60
gpu,[0]
precision,32-true
fast_dev_run,False
overfit_batches ,0
dataset_name,azh
batch_size,32
val_batch_size,32
test_batch_size,32
val_split,0.1
test_split,0.2
keep_classes,
min_samples,0
augmentation,True
keep_aspect_ratio,False
keep_aspect_ratio_eval,False
num_workers,-1
backbone,vicreg
num_mlp_layers,1
num_mlp_neurons,512
freeze_backbone,True
